title,id,track url,img url,artists,danceability,energy,valence,tempo,loudness
Morado,35KmOEIUqAGn02t7n4qaIr,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d,['J Balvin'],0.881,0.696,0.781,97.002,-3.838
Only You Freestyle,4OENnoidV0h8gJV6bhrw7r,https://open.spotify.com/track/4OENnoidV0h8gJV6bhrw7r,https://i.scdn.co/image/ab67616d0000b27395716719bcb760795a0c15bf,"['Headie One', 'Drake']",0.68,0.826,0.804,146.95,-2.561
DDLG,42dtq3bqOCzD0L2kITk4Dp,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,https://i.scdn.co/image/ab67616d0000b273b3781f16f967b439a44334c0,['ppcocaine'],0.906,0.388,0.4,139.983,-10.922
Kick You When You're Down,0Kq6RzOqkHxnfiA9OGqReU,https://open.spotify.com/track/0Kq6RzOqkHxnfiA9OGqReU,https://i.scdn.co/image/ab67616d0000b27304db0e3bcd166c1d6cfd81f9,['AC/DC'],0.675,0.93,0.778,110.013,-4.515
Free (with Drew Love),6wjm92jBZapfiplQS4XV0X,https://open.spotify.com/track/6wjm92jBZapfiplQS4XV0X,https://i.scdn.co/image/ab67616d0000b273d0c97444ecc52c4ca601144a,"['Louis The Child', 'Drew Love']",0.651,0.564,0.153,124.99,-6.64
Inside Friend (feat. John Mayer),4ehkZtzPTbjsRULRfQSWYu,https://open.spotify.com/track/4ehkZtzPTbjsRULRfQSWYu,https://i.scdn.co/image/ab67616d0000b273dc4f9aa0582a986dd0a211ee,"['Leon Bridges', 'John Mayer']",0.693,0.259,0.361,88.972,-7.918
BOOTY CALL (skit),2fLfobBrRNolLyE3J5xcOG,https://open.spotify.com/track/2fLfobBrRNolLyE3J5xcOG,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,['The Kid LAROI'],0.773,0.398,0.556,56.284,-11.494
la luz(F??n),7ID0n0zq1GQOQurMtPFPeH,https://open.spotify.com/track/7ID0n0zq1GQOQurMtPFPeH,https://i.scdn.co/image/ab67616d0000b273b44e3e6da3856f62cc111f11,"['Kali Uchis', 'Jhay Cortez']",0.732,0.457,0.58,166.012,-8.215
Heavy Rain & Gentle Thunder,0ZHTPz5fqG9mAqqdMPCaQ6,https://open.spotify.com/track/0ZHTPz5fqG9mAqqdMPCaQ6,https://i.scdn.co/image/ab67616d0000b273454ffc4fde677a25e40974f1,['Epic Soundscapes'],0.123,0.766,0.00413,98.164,-20.62
Dirty Stick,0nEWVyeYLtIi3JUHpASGiU,https://open.spotify.com/track/0nEWVyeYLtIi3JUHpASGiU,https://i.scdn.co/image/ab67616d0000b2738bd6e34012a7ab6311050d0c,['YoungBoy Never Broke Again'],0.614,0.789,0.349,106.704,-4.859
Tentacion,1dccdhKRYUcjPVdMGjRQ1H,https://open.spotify.com/track/1dccdhKRYUcjPVdMGjRQ1H,https://i.scdn.co/image/ab67616d0000b2733e59459508943946907ad74f,['Eslabon Armado'],0.613,0.537,0.796,104.629,-8.298
King Of The Fall,7o3Mcis1uKcYDuuJD1W0Rm,https://open.spotify.com/track/7o3Mcis1uKcYDuuJD1W0Rm,https://i.scdn.co/image/ab67616d0000b273f60419f5fa7a022ddece0809,['The Weeknd'],0.585,0.757,0.208,78.018,-4.752
Don't Say Goodbye (feat. Tove Lo),0GTPmh5G40joBg93vcSQNq,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,https://i.scdn.co/image/ab67616d0000b27335948e3f4bd52518dd35cd78,"['Alok', 'Ilkay Sencan', 'Tove Lo']",0.698,0.719,0.364,120.062,-4.923
Animals,5ofoB8PFmocBXFBEWVb6Vz,https://open.spotify.com/track/5ofoB8PFmocBXFBEWVb6Vz,https://i.scdn.co/image/ab67616d0000b273c78b2edbc9407cea20ccfb9f,['Architects'],0.532,0.759,0.293,95.01,-3.842
Stay Ur Distance,3GXDBeiF8ATGHJNWLinWAA,https://open.spotify.com/track/3GXDBeiF8ATGHJNWLinWAA,https://i.scdn.co/image/ab67616d0000b27349cceebf80043d11ae6e2ae8,['Yo Gotti'],0.832,0.611,0.682,139.933,-7.337
Tooka,4wpYhmLPVaPiSGLZmgPoW0,https://open.spotify.com/track/4wpYhmLPVaPiSGLZmgPoW0,https://i.scdn.co/image/ab67616d0000b273df06644c13c02fc2ec4311f0,"['GirlzLuhDev', 'DACHINC']",0.82,0.555,0.554,103.039,-7.114
Alone,32gSPav2xqFylAeCjJCxWi,https://open.spotify.com/track/32gSPav2xqFylAeCjJCxWi,https://i.scdn.co/image/ab67616d0000b273a634315c0933da0738340776,['Night Lovell'],0.829,0.609,0.696,143.97,-10.008
Boyfriend,5EBtY2shIV1vmY4bnvvV6T,https://open.spotify.com/track/5EBtY2shIV1vmY4bnvvV6T,https://i.scdn.co/image/ab67616d0000b27359e699338051e7fec4f2139a,['Selena Gomez'],0.811,0.512,0.346,92.046,-6.381
MORE,6juLaduD4STCUDWT0AYun4,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4,https://i.scdn.co/image/ab67616d0000b273f5aba3392389512e824d7b2a,"['K/DA', 'Madison Beer', '(G)I-DLE', 'Lexie Liu', 'Jaira Burns', 'Seraphine', 'League of Legends']",0.66,0.787,0.199,142.018,-4.592
The Blessing,5O306r2a9Nl7rm5ZlaTqka,https://open.spotify.com/track/5O306r2a9Nl7rm5ZlaTqka,https://i.scdn.co/image/ab67616d0000b273306cfe9dadd57889201c3384,"['Kari Jobe', 'Cody Carnes']",0.367,0.463,0.187,139.996,-7.638
